ID Transacción;ID Factura;Fecha de Venta;Fecha de Envío;ID Producto;Producto;Marca;Proveedor Logistico;Latitud;Longitud;ID Vendedor;NombreVendedor;NombreApellido;Fecha de Nacimiento;Región de Ventas;ID Cliente;Cliente;País Cliente;Cantidad;Venta;Costo
24090;12553;2016-01-02;2016-01-05;510;Pack de 12 figuras de acción electrónicas (variedad);Veluz;Lawrence;38,97167;-95,23525;131;Leo;Carreras;1978-09-19;España;460;Comercializadora Mecaf;España;2;460;341,6
24091;12553;2016-01-02;2016-01-05;230;Unidad flash USB de alimentos - barra de chocolate;Conexión TI;Omaha;41,25626;-95,94043;131;Leo;Carreras;1978-09-19;España;460;Comercializadora Mecaf;España;5;12;10,35
24092;12555;2016-01-02;2016-01-06;548;Envoltura de burbujas antiestática de 20 mm (azul) 20 m;Empaca Todo;Tulsa;36,15398;-95,99277;135;Mara;Bradley;1975-03-04;México;346;Profesionales En Concretos;Jamaica;7;91;84,28
24093;12555;2016-01-02;2016-01-06;560;Embalaje de envío (Marrón) 413x285x187mm;Empaca Todo;Tulsa;36,15398;-95,99277;135;Mara;Bradley;1975-03-04;México;346;Profesionales En Concretos;Jamaica;3;39;16,2
24094;12555;2016-01-02;2016-01-06;618;Máquina dispensadora de cinta industrial (Azul);Empaca Todo;Tulsa;36,15398;-95,99277;135;Mara;Bradley;1975-03-04;México;346;Profesionales En Concretos;Jamaica;1;240;170,05
24095;12556;2016-01-02;2016-01-05;563;Embalaje de envío (Marrón) 500x310x310mm;Empaca Todo;Tulsa;36,15398;-95,99277;137;Bradyn;West;1963-07-02;Brazil;285;Comercializadora De Carton Y Diseño;Venezuela;1;13;9,31
24096;12557;2016-01-02;2016-01-05;578;Embalaje de envío (Marrón) 356x356x279mm 40 kg;Empaca Todo;Tulsa;36,15398;-95,99277;137;Bradyn;West;1963-07-02;Brazil;298;Asesoria Y Comercializacion De Granos Industriales De Sonora Mirasaga;Perú;5;65;47,9
24097;12557;2016-01-02;2016-01-05;619;Kit marcador permanente negro 5 mm plumín (negro) 5 mm;Empaca Todo;Tulsa;36,15398;-95,99277;137;Bradyn;West;1963-07-02;Brazil;298;Asesoria Y Comercializacion De Granos Industriales De Sonora Mirasaga;Perú;2;64;41,48
24098;12558;2016-01-02;2016-01-04;559;Reemplazo del dispensador de plástico de burbujas (rojo) 1.5m;Empaca Todo;Tulsa;36,15398;-95,99277;137;Bradyn;West;1963-07-02;Brazil;692;Diseño Alternativo;Paraguay;5;65;51,25
24099;12558;2016-01-02;2016-01-04;224;Unidad de disco externa: rebanada de pizza de 1 TB;Conexión TI;Omaha;41,25626;-95,94043;137;Bradyn;West;1963-07-02;Brazil;692;Diseño Alternativo;Paraguay;7;609;211,47
24100;12558;2016-01-02;2016-01-04;525;Envoltura de burbujas de doble cara de 20 mm Paquete de 10 m;Empaca Todo;Tulsa;36,15398;-95,99277;137;Bradyn;West;1963-07-02;Brazil;692;Diseño Alternativo;Paraguay;3;75;44,46
24101;12560;2016-01-02;2016-01-05;377;The Gu camiseta roja etiqueta XML camiseta (Blanco) 6XL;Northwind;Houston;29,76328;-95,36327;144;Gregorio;Alonso;1980-05-29;Brazil;456;Empacadora De Carnes Rivas;Ecuador;10;320;193,7
24102;12560;2016-01-02;2016-01-05;554;Envoltura de burbujas antiestática de 32 mm (azul) 15 m;Empaca Todo;Tulsa;36,15398;-95,99277;144;Gregorio;Alonso;1980-05-29;Brazil;456;Empacadora De Carnes Rivas;Ecuador;8;104;95,44
24103;12560;2016-01-02;2016-01-04;536;32 mm de doble cara de plástico de burbujas 5m;Empaca Todo;Tulsa;36,15398;-95,99277;144;Gregorio;Alonso;1980-05-29;Brazil;456;Empacadora De Carnes Rivas;Ecuador;2;26;15,96
24104;12562;2016-01-02;2016-01-06;334;RC cupé de juguete americano vintage con control remoto (rojo) escala 1/50;Veluz;Lawrence;38,97167;-95,23525;147;Maribel;Flores;1978-01-09;España;274;Distribuciones Rembao;España;10;150;86,5
24105;12562;2016-01-02;2016-01-06;504;Coche electrónico manejable a escala 1/6 para niños (gris);Veluz;Lawrence;38,97167;-95,23525;147;Maribel;Flores;1978-01-09;España;274;Distribuciones Rembao;España;8;2280;1602,96
24106;12563;2016-01-02;2016-01-05;549;Envoltura de burbujas antiestática de 20 mm (azul) 50 m;Empaca Todo;Tulsa;36,15398;-95,99277;147;Maribel;Flores;1978-01-09;España;451;Tratadora De Arena;España;9;117;81,81
24107;12563;2016-01-02;2016-01-05;627;Cuchillo de embalaje con hoja de inserción de metal (amarillo) 18 mm;Empaca Todo;Tulsa;36,15398;-95,99277;147;Maribel;Flores;1978-01-09;España;451;Tratadora De Arena;España;9;288;216,9
24108;12563;2016-01-02;2016-01-05;394;The Gu camiseta roja etiqueta XML camiseta (Negro) XL;Northwind;Houston;29,76328;-95,36327;147;Maribel;Flores;1978-01-09;España;451;Tratadora De Arena;España;4;128;72,48
24109;12563;2016-01-02;2016-01-05;443;Chaqueta de acción de superhéroe (azul) 4XL;Northwind;Houston;29,76328;-95,36327;147;Maribel;Flores;1978-01-09;España;451;Tratadora De Arena;España;7;245;171,99
24110;12564;2016-01-02;2016-01-04;557;Reemplazo del dispensador de plástico de burbujas (azul) 1.5m;Empaca Todo;Tulsa;36,15398;-95,99277;160;Lilly;Gonzalez;1979-07-02;Brazil;387;La Casa Del Repostero;Argentina;1;13;12,26
24111;12566;2016-01-02;2016-01-05;630;Pequeñas cuchillas de repuesto de 9 mm 9 mm;Empaca Todo;Tulsa;36,15398;-95,99277;160;Lilly;Gonzalez;1979-07-02;Brazil;454;Gdl Clothing;Perú;4;128;48,8
24112;12566;2016-01-02;2016-01-05;586;Bolsa de correos Courier de 30 kg (Blanco) 300x190x95mm;Empaca Todo;Tulsa;36,15398;-95,99277;160;Lilly;Gonzalez;1979-07-02;Brazil;454;Gdl Clothing;Perú;9;117;72,99
24113;12566;2016-01-02;2016-01-05;549;Envoltura de burbujas antiestática de 20 mm (azul) 50 m;Empaca Todo;Tulsa;36,15398;-95,99277;160;Lilly;Gonzalez;1979-07-02;Brazil;454;Gdl Clothing;Perú;1;13;9,09
24114;12568;2016-01-02;2016-01-05;356;The Gu camiseta roja etiqueta XML camiseta (Blanco) 3XS;Northwind;Houston;29,76328;-95,36327;164;Kaelyn;Howart;1978-12-23;Estados Unidos;173;Air Distribution Corp;Estados Unidos;24;432;173,76
24115;12568;2016-01-02;2016-01-05;401;The Gu camiseta roja etiqueta XML camiseta (Negro) 5XL;Northwind;Houston;29,76328;-95,36327;164;Kaelyn;Howart;1978-12-23;Estados Unidos;173;Air Distribution Corp;Estados Unidos;2;64;37,3
24116;12568;2016-01-02;2016-01-05;543;Envoltura de burbujas antiestática de 10 mm (azul) 20 m;Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;173;Air Distribution Corp;Estados Unidos;3;39;30,42
24117;12570;2016-01-02;2016-01-04;570;Embalaje de envío (Marrón) 356x229x229mm 50 kg;Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;376;Institute For Management And Planning Studies (Imps);Estados Unidos;9;117;65,97
24118;12570;2016-01-02;2016-01-04;283;Taza de broma para desarrolladores: cuando su martillo es C ++ (blanco);Conexión TI;Omaha;41,25626;-95,94043;164;Kaelyn;Howart;1978-12-23;Estados Unidos;376;Institute For Management And Planning Studies (Imps);Estados Unidos;75;262,5;159,75
24119;12570;2016-01-02;2016-01-04;630;Pequeñas cuchillas de repuesto de 9 mm 9 mm;Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;376;Institute For Management And Planning Studies (Imps);Estados Unidos;6;192;73,2
24120;12570;2016-01-02;2016-01-04;380;The Gu camiseta roja etiqueta XML camiseta (Blanco) 7XL;Northwind;Houston;29,76328;-95,36327;164;Kaelyn;Howart;1978-12-23;Estados Unidos;376;Institute For Management And Planning Studies (Imps);Estados Unidos;1;32;19,54
24121;12571;2016-01-02;2016-01-06;311;IT broma taza electrónica - teclado no encontrado ... presione F1 para continuar (Blanco);Conexión TI;Omaha;41,25626;-95,94043;164;Kaelyn;Howart;1978-12-23;Estados Unidos;461;Trips Southamerica;Estados Unidos;10;290;181
24122;12571;2016-01-02;2016-01-06;397;The Gu camiseta roja etiqueta XML camiseta (Negro) 3XL;Northwind;Houston;29,76328;-95,36327;164;Kaelyn;Howart;1978-12-23;Estados Unidos;461;Trips Southamerica;Estados Unidos;9;288;168,75
24123;12571;2016-01-02;2016-01-06;647;Bolsa de 300 L de relleno vacío (Blanco) 300L;Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;461;Trips Southamerica;Estados Unidos;8;200;105,2
24124;12571;2016-01-02;2016-01-06;598;Cristal negro y naranja con cinta de despacho cuidado 48mmx75m;Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;461;Trips Southamerica;Estados Unidos;1;13;5,98
24125;12571;2016-01-02;2016-01-06;639;Reemplazo de la máquina de colchón de aire (azul);Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;461;Trips Southamerica;Estados Unidos;1;32;19,3
24126;12573;2016-01-02;2016-01-06;401;The Gu camiseta roja etiqueta XML camiseta (Negro) 5XL;Northwind;Houston;29,76328;-95,36327;164;Kaelyn;Howart;1978-12-23;Estados Unidos;689;Global Financial Ltd;Estados Unidos;9;288;167,85
24127;12573;2016-01-02;2016-01-06;553;Envoltura de burbujas antiestática de 34 mm (azul) 20 m;Empaca Todo;Tulsa;36,15398;-95,99277;164;Kaelyn;Howart;1978-12-23;Estados Unidos;689;Global Financial Ltd;Estados Unidos;1;13;9,72
24128;12575;2016-01-02;2016-01-04;528;Plástico de burbujas de doble cara de 25 mm, 8 m;Empaca Todo;Tulsa;36,15398;-95,99277;170;Colt;Stanley;1972-03-05;Estados Unidos;368;Ax3 Fulltech;Estados Unidos;4;100;61,76
24129;12576;2016-01-02;2016-01-06;514;Máquina industrial de plástico de burbujas de tamaño pequeño;Empaca Todo;Tulsa;36,15398;-95,99277;170;Colt;Stanley;1972-03-05;Estados Unidos;450;Cirqit;Estados Unidos;10;2300;1791,8
24130;12576;2016-01-02;2016-01-06;434;Chaqueta de acción de superhéroe (azul) L;Northwind;Houston;29,76328;-95,36327;170;Colt;Stanley;1972-03-05;Estados Unidos;450;Cirqit;Estados Unidos;6;150;90,12
24131;12576;2016-01-02;2016-01-06;230;Unidad flash USB de alimentos - barra de chocolate;Conexión TI;Omaha;41,25626;-95,94043;170;Colt;Stanley;1972-03-05;Estados Unidos;450;Cirqit;Estados Unidos;10;24;20,7
24132;12578;2016-01-02;2016-01-04;618;Máquina dispensadora de cinta industrial (Azul);Empaca Todo;Tulsa;36,15398;-95,99277;170;Colt;Stanley;1972-03-05;Estados Unidos;458;Elm Building Service Engineers Ltd;Estados Unidos;8;1920;1360,4
24133;12578;2016-01-02;2016-01-04;501;Coche electrónico manejable a escala 1/6 para niños (Marrón);Veluz;Lawrence;38,97167;-95,23525;170;Colt;Stanley;1972-03-05;Estados Unidos;458;Elm Building Service Engineers Ltd;Estados Unidos;1;345;280,37
24134;12578;2016-01-02;2016-01-04;513;Pack de 12 figuras de acción electrónicas (hembra);Veluz;Lawrence;38,97167;-95,23525;170;Colt;Stanley;1972-03-05;Estados Unidos;458;Elm Building Service Engineers Ltd;Estados Unidos;4;920;643,8
24135;12579;2016-01-02;2016-01-04;240;Unidad flash USB de alimentos - galleta de la fortuna;Conexión TI;Omaha;41,25626;-95,94043;170;Colt;Stanley;1972-03-05;Estados Unidos;657;Trade Press Services;Estados Unidos;96;259,2;207,36
24136;12579;2016-01-02;2016-01-04;385;The Gu camiseta roja etiqueta XML camiseta (Negro) XXS;Northwind;Houston;29,76328;-95,36327;170;Colt;Stanley;1972-03-05;Estados Unidos;657;Trade Press Services;Estados Unidos;5;160;36,4
24137;12579;2016-01-02;2016-01-04;549;Envoltura de burbujas antiestática de 20 mm (azul) 50 m;Empaca Todo;Tulsa;36,15398;-95,99277;170;Colt;Stanley;1972-03-05;Estados Unidos;657;Trade Press Services;Estados Unidos;2;26;18,18
24138;12580;2016-01-02;2016-01-06;516;Rollo de envoltura de burbujas de tamaño mediano 20 m (paquete);Empaca Todo;Tulsa;36,15398;-95,99277;175;Ivy;Domini;1973-09-14;España;463;Tega Instruments;España;8;360;162,88
24139;12580;2016-01-02;2016-01-06;404;The Gu camiseta roja etiqueta XML camiseta (Negro) 6XL;Northwind;Houston;29,76328;-95,36327;175;Ivy;Domini;1973-09-14;España;463;Tega Instruments;España;9;288;178,83
24140;12582;2016-01-02;2016-01-06;350;Viaja en un coupé de juguete americano vintage (rojo) escala 1/12;Veluz;Lawrence;38,97167;-95,23525;181;Domingo;Trota;1978-10-04;México;148;Sol Firma De Negocios;Nicaragua;12;216;111,72
24141;12582;2016-01-02;2016-01-06;583;Buzón Express 50kg (Blanco) 350x280x130mm;Empaca Todo;Tulsa;36,15398;-95,99277;181;Domingo;Trota;1978-10-04;México;148;Sol Firma De Negocios;Nicaragua;4;52;20,8
24142;12582;2016-01-02;2016-01-06;306;Developer joke electronic kit 3 tazas - los desarrolladores de C viejos nunca mueren (Blanco);Conexión TI;Omaha;41,25626;-95,94043;181;Domingo;Trota;1978-10-04;México;148;Sol Firma De Negocios;Nicaragua;40;4080;2638,4
24143;12584;2016-01-02;2016-01-06;388;The Gu camiseta roja etiqueta XML camiseta (Negro) S;Northwind;Houston;29,76328;-95,36327;181;Domingo;Trota;1978-10-04;México;452;Orduña Hidalgo Maquinaria;México;4;128;73,92
24144;12584;2016-01-02;2016-01-06;401;The Gu camiseta roja etiqueta XML camiseta (Negro) 5XL;Northwind;Houston;29,76328;-95,36327;181;Domingo;Trota;1978-10-04;México;452;Orduña Hidalgo Maquinaria;México;3;96;55,95
24145;12584;2016-01-02;2016-01-06;336;RC cupé de juguete americano vintage con control remoto (negro) escala 1/50;Veluz;Lawrence;38,97167;-95,23525;181;Domingo;Trota;1978-10-04;México;452;Orduña Hidalgo Maquinaria;México;20;480;266,8
24146;12586;2016-01-02;2016-01-05;578;Embalaje de envío (Marrón) 356x356x279mm 40 kg;Empaca Todo;Tulsa;36,15398;-95,99277;181;Domingo;Trota;1978-10-04;México;462;Laboratorios Veterinarios Lavet;México;10;130;95,8
24147;12588;2016-01-02;2016-01-08;237;Unidad flash USB para alimentos: cóctel de camarones;Conexión TI;Omaha;41,25626;-95,94043;181;Domingo;Trota;1978-10-04;México;610;Veterinarias Dimevet;México;12;32,4;17,4
24148;12589;2016-01-02;2016-01-05;572;Embalaje de envío (Marrón) 457x279x279mm;Empaca Todo;Tulsa;36,15398;-95,99277;185;Brent;Stewart;1975-03-19;Brazil;191;Tubos Barranquilla;Colombia;5;65;31
24149;12589;2016-01-02;2016-01-05;580;Embalaje de envío (Marrón) 457x457x457mm 30 kg;Empaca Todo;Tulsa;36,15398;-95,99277;185;Brent;Stewart;1975-03-19;Brazil;191;Tubos Barranquilla;Colombia;3;39;28,92
24150;12590;2016-01-02;2016-01-05;425;Chaqueta de acción de superhéroe (azul) XXS;Northwind;Houston;29,76328;-95,36327;185;Brent;Stewart;1975-03-19;Brazil;216;Equipo Hidraulico Y Neumatico Centro De Distribucion Y Servicio Autorizado Cinthia Jaqueline Cabrera;Venezuela;3;90;46,98
24151;12590;2016-01-02;2016-01-05;222;Unidad de disco externa: 1 TB;Conexión TI;Omaha;41,25626;-95,94043;185;Brent;Stewart;1975-03-19;Brazil;216;Equipo Hidraulico Y Neumatico Centro De Distribucion Y Servicio Autorizado Cinthia Jaqueline Cabrera;Venezuela;2;180;51,8
24152;12592;2016-01-02;2016-01-05;524;Plástico de burbujas de doble cara de 10 mm 50m;Empaca Todo;Tulsa;36,15398;-95,99277;185;Brent;Stewart;1975-03-19;Brazil;330;Madereria Especializada Armen;Venezuela;5;125;60,15
24153;12592;2016-01-02;2016-01-05;559;Reemplazo del dispensador de plástico de burbujas (rojo) 1.5m;Empaca Todo;Tulsa;36,15398;-95,99277;185;Brent;Stewart;1975-03-19;Brazil;330;Madereria Especializada Armen;Venezuela;8;104;82
24154;12594;2016-01-02;2016-01-05;346;Coche sedán de juguete para montar (verde) escala 1/12;Veluz;Lawrence;38,97167;-95,23525;185;Brent;Stewart;1975-03-19;Brazil;453;Alimentos Procesados Don Agustín;Ecuador;4;64;57,4
24155;12594;2016-01-02;2016-01-05;568;Embalaje de envío (Marrón) 279x254x217mm 50 kg;Empaca Todo;Tulsa;36,15398;-95,99277;185;Brent;Stewart;1975-03-19;Brazil;453;Alimentos Procesados Don Agustín;Ecuador;6;78;47,4
24156;12594;2016-01-02;2016-01-05;393;The Gu camiseta roja etiqueta XML camiseta (Negro) L;Northwind;Houston;29,76328;-95,36327;185;Brent;Stewart;1975-03-19;Brazil;453;Alimentos Procesados Don Agustín;Ecuador;9;288;195,03
24157;12595;2016-01-02;2016-01-04;533;32 mm de doble cara de plástico de burbujas 10m;Empaca Todo;Tulsa;36,15398;-95,99277;185;Brent;Stewart;1975-03-19;Brazil;677;Organizacion Rosales;Brazil;2;50;21,04
24158;12595;2016-01-02;2016-01-04;376;The Gu camisa roja etiqueta XML camiseta (Blanco) 5XL;Northwind;Houston;29,76328;-95,36327;185;Brent;Stewart;1975-03-19;Brazil;677;Organizacion Rosales;Brazil;4;128;71,28
24159;12596;2016-01-02;2016-01-04;419;Alien officer hoodie (negro) 5XL;Conexión TI;Omaha;41,25626;-95,94043;185;Brent;Stewart;1975-03-19;Brazil;705;Impulsora Agricola;Chile;3;90;48,33
24160;12598;2016-01-02;2016-01-06;606;Cinta de envío negra y naranja de esta manera hacia arriba 48 mm x 100 m;Empaca Todo;Tulsa;36,15398;-95,99277;187;Jacinto;Cruz;1963-07-17;España;457;Careyes Empacadora Y Comercializadora De Especies Marinas;España;7;91;46,83
24161;12598;2016-01-02;2016-01-06;388;The Gu camiseta roja etiqueta XML camiseta (Negro) S;Northwind;Houston;29,76328;-95,36327;187;Jacinto;Cruz;1963-07-17;España;457;Careyes Empacadora Y Comercializadora De Especies Marinas;España;1;32;18,48
24162;12598;2016-01-02;2016-01-06;331;Coche sedán de juguete RC con control remoto (Amarillo) escala 1/30;Veluz;Lawrence;38,97167;-95,23525;187;Jacinto;Cruz;1963-07-17;España;457;Careyes Empacadora Y Comercializadora De Especies Marinas;España;30;3150;2113,8
24163;12598;2016-01-02;2016-01-05;516;Rollo de envoltura de burbujas de tamaño mediano 20 m (paquete);Empaca Todo;Tulsa;36,15398;-95,99277;187;Jacinto;Cruz;1963-07-17;España;457;Careyes Empacadora Y Comercializadora De Especies Marinas;España;8;360;162,88
24164;12598;2016-01-02;2016-01-05;521;Plástico de burbujas de doble cara de 10 mm 20 m;Empaca Todo;Tulsa;36,15398;-95,99277;187;Jacinto;Cruz;1963-07-17;España;457;Careyes Empacadora Y Comercializadora De Especies Marinas;España;4;100;38,24
24165;12598;2016-01-02;2016-01-05;394;The Gu camiseta roja etiqueta XML camiseta (Negro) XL;Northwind;Houston;29,76328;-95,36327;187;Jacinto;Cruz;1963-07-17;España;457;Careyes Empacadora Y Comercializadora De Especies Marinas;España;10;320;181,2
24166;12599;2016-01-04;2016-01-09;441;Chaqueta de acción de superhéroe (azul) 3XL;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;131;Brans Tejido De Punto;México;5;175;121,45
24167;12600;2016-01-04;2016-01-08;301;Desarrollador broma pequeño kit electrónico - un foo entra en un bar (Negro);Conexión TI;Omaha;41,25626;-95,94043;121;Paula;Camino;1978-12-08;México;364;Comercializadora Rimosa;Panamá;10;1050;622,8
24168;12601;2016-01-04;2016-01-08;461;Zapatillas de ogro con pilas (verde) L;Zoofarm;Topeka;39,04833;-95,67804;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;108;1944;925,56
24169;12601;2016-01-04;2016-01-08;525;Envoltura de burbujas de doble cara de 20 mm Paquete de 10 m;Empaca Todo;Tulsa;36,15398;-95,99277;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;4;100;59,28
24170;12601;2016-01-04;2016-01-08;475;Gorila peludo con zapatillas de ojos grandes (Negro) M;Zoofarm;Topeka;39,04833;-95,67804;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;12;216;104,4
24171;12602;2016-01-04;2016-01-08;549;Envoltura de burbujas antiestática de 20 mm (azul) 50 m;Empaca Todo;Tulsa;36,15398;-95,99277;121;Paula;Camino;1978-12-08;México;630;C Cero;México;4;52;36,36
24172;12602;2016-01-04;2016-01-08;397;The Gu camiseta roja etiqueta XML camiseta (Negro) 3XL;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;630;C Cero;México;7;224;131,25
24173;12604;2016-01-04;2016-01-08;251;Taza de broma de DBA: puede ser un DBA si (Blanco);Conexión TI;Omaha;41,25626;-95,94043;121;Paula;Camino;1978-12-08;México;644;Comercializadora De Productos Institucionales Sa;México;96;393,6;232,32
24174;12605;2016-01-04;2016-01-08;302;Desarrollador broma taza electrónica: este código fue generado por una herramienta (Blanco);Conexión TI;Omaha;41,25626;-95,94043;121;Paula;Camino;1978-12-08;México;656;Silver Breeze;Panamá;90;4320;2741,4
24175;12605;2016-01-04;2016-01-08;434;Chaqueta de acción de superhéroe (azul) L;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;656;Silver Breeze;Panamá;5;125;75,1
24176;12606;2016-01-04;2016-01-08;554;Envoltura de burbujas antiestática de 32 mm (azul) 15 m;Empaca Todo;Tulsa;36,15398;-95,99277;125;Martin;Rivarola;1978-12-08;México;231;Distribuidora Carico Internacional;El Salvador;8;104;95,44
24177;12606;2016-01-04;2016-01-08;225;Unidad flash USB para alimentos - batido;Conexión TI;Omaha;41,25626;-95,94043;125;Martin;Rivarola;1978-12-08;México;231;Distribuidora Carico Internacional;El Salvador;30;129;54
24178;12606;2016-01-04;2016-01-08;338;Camión monstruo RC de rueda grande con control remoto (negro) escala 1/50;Veluz;Lawrence;38,97167;-95,23525;125;Martin;Rivarola;1978-12-08;México;231;Distribuidora Carico Internacional;El Salvador;60;1200;672
24179;12608;2016-01-04;2016-01-08;545;Plástico antiestático de 5 mm (azul) 50m;Empaca Todo;Tulsa;36,15398;-95,99277;125;Martin;Rivarola;1978-12-08;México;474;Electro Centro;México;6;78;65,7
24180;12608;2016-01-04;2016-01-08;233;Unidad flash USB de alimentos - cookie;Conexión TI;Omaha;41,25626;-95,94043;125;Martin;Rivarola;1978-12-08;México;474;Electro Centro;México;30;56,7;40,5
24181;12610;2016-01-04;2016-01-06;639;Reemplazo de la máquina de colchón de aire (azul);Empaca Todo;Tulsa;36,15398;-95,99277;127;Mohamed;Ali;1972-02-19;Estados Unidos;243;Artists Resource Agency Inc;Estados Unidos;2;64;38,6
24182;12612;2016-01-04;2016-01-08;473;Gorila peludo con zapatillas de ojos grandes (Negro) S;Zoofarm;Topeka;39,04833;-95,67804;127;Mohamed;Ali;1972-02-19;Estados Unidos;254;Voyages Copine Sa;Estados Unidos;72;1296;639,36
24183;12612;2016-01-04;2016-01-08;241;Unidad flash USB para alimentos: paquete de variedad de postre 5 unidades;Conexión TI;Omaha;41,25626;-95,94043;127;Mohamed;Ali;1972-02-19;Estados Unidos;254;Voyages Copine Sa;Estados Unidos;60;1920;290,4
24184;12614;2016-01-04;2016-01-08;380;The Gu camiseta roja etiqueta XML camiseta (Blanco) 7XL;Northwind;Houston;29,76328;-95,36327;127;Mohamed;Ali;1972-02-19;Estados Unidos;356;Techflow Engineers;Estados Unidos;5;160;97,7
24185;12614;2016-01-04;2016-01-08;268;Taza de broma DBA: dos tipos de DBA (negro);Conexión TI;Omaha;41,25626;-95,94043;127;Mohamed;Ali;1972-02-19;Estados Unidos;356;Techflow Engineers;Estados Unidos;180;666;482,4
24186;12614;2016-01-04;2016-01-08;404;The Gu camiseta roja etiqueta XML camiseta (Negro) 6XL;Northwind;Houston;29,76328;-95,36327;127;Mohamed;Ali;1972-02-19;Estados Unidos;356;Techflow Engineers;Estados Unidos;1;32;19,87
24187;12614;2016-01-04;2016-01-08;247;Taza de broma de DBA: ¿te importa si me uno a ti? (Negro) - 10 pz;Conexión TI;Omaha;41,25626;-95,94043;127;Mohamed;Ali;1972-02-19;Estados Unidos;356;Techflow Engineers;Estados Unidos;30;960;467,1
